source,target
WASL,PDGFB
AP2A2,ARPC2
AP2A2,RAB5B
AP2A2,SNX9
TAF6,KAT2B
TAF6,TAF8
TAF6,GTF2H3
DDX46,PAPOLA
DDX46,ELAVL1
HIST1H2BJ,KAT2B
HIST1H2BJ,RBBP7
MARK2,STK11
RAB5B,ARPC2
RAB5B,SNX9
FNBP1L,ARPC2
FNBP1L,SNX9
RAB10,SLC2A4
PHC3,TNRC6B
MED21,MED16
MED21,SLC2A4
LAMC1,PAK6
LAMC1,ITGA2
PSMD11,ITCH
TRIM32,UBE2L3
ACOX1,CPT1A
ACOX1,ACSL4
ETF1,RPL17
SNX9,ARPC2
SNX9,AP1G1
PAPOLA,ELAVL1
GOLGA2,TRAPPC10
GOLGA2,SEC23A
VEGFA,PDGFB
ITCH,KLHL20
ITCH,UBE2L3
ITCH,DZIP3
ACSL4,CPT1A
KLHL20,UBE2L3
KLHL20,DZIP3
MCL1,PMAIP1
TRAPPC10,SEC23A
DZIP3,UBE2L3
GTF2H3,RRN3
MED16,SLC2A4
PDHB,LDHD
TIMM17A,LDHD
